"wsc_id","valid_wsc_id","specific_epithet","subspecific_epithet","sp_author","sp_author_year","has_parantheses","species_lsid","sp_status","wsc_genus_id","genus","gen_author","gen_author_year","genus_lsid","family","fam_author","fam_author_year","family_lsid"
"46081","2","ceciliae",\N,"Mello-Leitão","1931","0","urn:lsid:nmbe.ch:spidersp:000897","SYNONYM","1","Actinopus","Perty","1833","urn:lsid:nmbe.ch:spidergen:00092","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46082","31","crassa",\N,"O. Pickard-Cambridge","1869","1",\N,"SYNONYM","2","Missulena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:00093","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46083","35","formidabilis",\N,"O. Pickard-Cambridge","1869","1",\N,"SYNONYM","2","Missulena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:00093","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46084","33","formosa",\N,"Rainbow","1896","1",\N,"SYNONYM","2","Missulena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:00093","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46085","31","incerta",\N,"O. Pickard-Cambridge","1877","1",\N,"SYNONYM","2","Missulena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:00093","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46086","35","rubrocapitata",\N,"Keyserling, in Ausserer","1875","1",\N,"SYNONYM","2","Missulena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:00093","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46087","35","rugosa",\N,"Ausserer","1875","1",\N,"SYNONYM","2","Missulena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:00093","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46088","33","semicoccineum",\N,"Simon","1896","1",\N,"SYNONYM","2","Missulena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:00093","Actinopodidae","Simon","1892","urn:lsid:nmbe.ch:spiderfam:0063"
"46089","102","aglaosa",\N,"Wang & Wang","1991","0",\N,"SYNONYM","5","Agelena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:01813","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46090","102","daoxianensis",\N,"Peng, Gong & Kim","1996","0",\N,"SYNONYM","5","Agelena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:01813","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46091","94","gracilens","taurica","Thorell","1875","0",\N,"SYNONYM","5","Agelena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:01813","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46092","95","micropunctulata",\N,"Wang","1992","0","urn:lsid:nmbe.ch:spidersp:020871","SYNONYM","5","Agelena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:01813","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46093","79","sublimbata",\N,"Wang","1991","0",\N,"SYNONYM","5","Agelena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:01813","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46094","94","syriaca",\N,"C. L. Koch","1845","0",\N,"SYNONYM","5","Agelena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:01813","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46095","77","tubicola",\N,"Bösenberg & Strand","1906","0",\N,"SYNONYM","5","Agelena","Walckenaer","1805","urn:lsid:nmbe.ch:spidergen:01813","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46096","115","gertschi",\N,"Schenkel","1950","0",\N,"SYNONYM","7","Agelenopsis","Giebel","1869","urn:lsid:nmbe.ch:spidergen:01815","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46097","115","guttata",\N,"Chamberlin & Ivie","1941","0",\N,"SYNONYM","7","Agelenopsis","Giebel","1869","urn:lsid:nmbe.ch:spidergen:01815","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46098","149","dia",\N,"Dönitz & Strand","1906","1","urn:lsid:nmbe.ch:spidersp:021217","SYNONYM","11","Allagelena","Zhang, Zhu & Song","2006","urn:lsid:nmbe.ch:spidergen:03707","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46099","149","japonica",\N,"Karsch","1879","1",\N,"SYNONYM","11","Allagelena","Zhang, Zhu & Song","2006","urn:lsid:nmbe.ch:spidergen:03707","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
"46100","147","sangzhiensis",\N,"Wang","1991","1","urn:lsid:nmbe.ch:spidersp:020883","SYNONYM","11","Allagelena","Zhang, Zhu & Song","2006","urn:lsid:nmbe.ch:spidergen:03707","Agelenidae","C. L. Koch","1837","urn:lsid:nmbe.ch:spiderfam:0037"
